| # | Dur | Diff | Act | Exp | Idx | Grd | Rolling | Mult | Note |
| 56 | 36 | 6 | 48 | 89 | 8.6 | A | 7.4 | Neutral | Random Variance |
| 57 | 77 | 10 | 223 | 219 | 6 | B | 6.9 | Neutral | Random Variance |
| 58 | 45 | 7 | 117 | 122 | 7.5 | B+ | 6.8 | Neutral | Random Variance |
| 59 | 88 | 7 | 136 | 238 | 8.4 | A | 6.7 | Neutral | Random Variance |
| 60 | 84 | 1 | 202 | 176 | 7.3 | B+ | 7.6 | Down (Efficient) | Random Variance |
| 61 | 120 | 8 | 351 | 319 | 6.3 | B | 7.1 | Neutral | Deep Work / Long Duration |
| 62 | 120 | 8 | 351 | 319 | 6.3 | B | 7.2 | Neutral | Deep Work / Long Duration |
| 63 | 120 | 8 | 351 | 319 | 6.3 | B | 6.9 | Neutral | Deep Work / Long Duration |
| 64 | 120 | 8 | 370 | 336 | 6.3 | B | 6.5 | Neutral | Deep Work / Long Duration |
| 65 | 120 | 8 | 370 | 336 | 6.3 | B | 6.3 | Neutral | Deep Work / Long Duration |
| 66 | 120 | 8 | 370 | 336 | 6.3 | B | 6.3 | Neutral | Deep Work / Long Duration |
| 67 | 120 | 8 | 370 | 336 | 6.3 | B | 6.3 | Neutral | Deep Work / Long Duration |
| 68 | 120 | 8 | 370 | 336 | 6.3 | B | 6.3 | Neutral | Deep Work / Long Duration |
| 69 | 120 | 8 | 370 | 336 | 6.3 | B | 6.3 | Neutral | Deep Work / Long Duration |
| 70 | 120 | 8 | 370 | 336 | 6.3 | B | 6.3 | Neutral | Deep Work / Long Duration |
| 71 | 15 | 2 | 2 | 33 | 0 | D | 6.3 | Neutral | INVALID: Invalid: Micro Session Failure |
| 72 | 15 | 2 | 3 | 33 | 0 | D | 6.3 | Neutral | INVALID: Invalid: Micro Session Failure |
| 73 | 15 | 2 | 4 | 33 | 7.9 | B+ | 6.6 | Neutral | Invalid: Micro Session Failure |
| 74 | 15 | 2 | 2 | 33 | 0 | D | 6.6 | Neutral | INVALID: Invalid: Micro Session Failure |
| 75 | 15 | 2 | 3 | 33 | 0 | D | 6.6 | Neutral | INVALID: Invalid: Micro Session Failure |
| 76 | 15 | 2 | 2 | 33 | 0 | D | 6.6 | Neutral | INVALID: Invalid: Micro Session Failure |
| 77 | 15 | 2 | 4 | 33 | 7.9 | B+ | 6.9 | Neutral | Invalid: Micro Session Failure |
| 78 | 15 | 2 | 2 | 33 | 0 | D | 6.9 | Neutral | INVALID: Invalid: Micro Session Failure |
| 79 | 15 | 2 | 3 | 33 | 0 | D | 6.9 | Neutral | INVALID: Invalid: Micro Session Failure |
| 80 | 15 | 2 | 2 | 33 | 0 | D | 6.9 | Neutral | INVALID: Invalid: Micro Session Failure |
| 81 | 60 | 5 | 150 | 150 | 7.8 | B+ | 7.2 | Neutral | Stability Check |
| 82 | 60 | 5 | 143 | 143 | 7.8 | B+ | 7.5 | Neutral | Stability Check |
| 83 | 60 | 5 | 143 | 143 | 7.8 | B+ | 7.8 | Neutral | Stability Check |
| 84 | 60 | 5 | 143 | 143 | 7.8 | B+ | 7.8 | Neutral | Stability Check |
| 85 | 60 | 5 | 143 | 143 | 7.8 | B+ | 7.8 | Neutral | Stability Check |
| 86 | 60 | 5 | 143 | 143 | 7.8 | B+ | 7.8 | Neutral | Stability Check |
| 87 | 60 | 5 | 143 | 143 | 7.8 | B+ | 7.8 | Neutral | Stability Check |
| 88 | 60 | 5 | 143 | 143 | 7.8 | B+ | 7.8 | Neutral | Stability Check |
| 89 | 60 | 5 | 143 | 143 | 7.8 | B+ | 7.8 | Neutral | Stability Check |
| 90 | 60 | 5 | 143 | 143 | 7.8 | B+ | 7.8 | Neutral | Stability Check |
| 91 | 50 | 6 | 118 | 124 | 7.6 | B+ | 7.8 | Neutral | Final Review |
| 92 | 50 | 7 | 122 | 128 | 7.5 | B+ | 7.7 | Neutral | Final Review |
| 93 | 50 | 4 | 108 | 114 | 7.9 | B+ | 7.7 | Neutral | Final Review |
| 94 | 50 | 8 | 126 | 133 | 7.3 | B+ | 7.6 | Neutral | Final Review |
| 95 | 50 | 8 | 126 | 133 | 7.3 | B+ | 7.5 | Neutral | Final Review |
| 96 | 50 | 8 | 126 | 133 | 7.3 | B+ | 7.5 | Neutral | Final Review |
| 97 | 50 | 4 | 108 | 114 | 7.9 | B+ | 7.5 | Neutral | Final Review |
| 98 | 50 | 7 | 122 | 128 | 7.5 | B+ | 7.5 | Neutral | Final Review |
| 99 | 50 | 6 | 118 | 124 | 7.6 | B+ | 7.5 | Neutral | Final Review |
| 100 | 50 | 4 | 108 | 114 | 7.9 | B+ | 7.6 | Neutral | Final Review |
